feature,importance
addr1,1130
TransactionAmt,1004
id_31,993
P_emaildomain,745
C13,661
D2,646
D15,628
id_30,524
C1,522
D4,519
D1,472
C6,423
D10,415
C2,379
R_emaildomain,374
C14,367
C9,349
C11,332
D3,301
D11,258
C5,228
M5,219
M6,183
M4,180
V45,176
C12,168
card4,156
card6,154
C8,144
ProductCD,135
V170,132
C10,113
D5,102
V258,98
V189,85
addr2,84
V200,80
V156,78
M3,78
V149,73
V49,72
C4,72
C3,66
M9,62
V147,62
V44,59
V171,57
C7,53
V43,48
V47,47
V188,46
M8,46
M7,45
V48,45
V257,40
V52,38
M2,37
V51,37
V201,36
V42,35
V148,34
V154,33
V244,31
V46,30
V242,28
V158,28
V40,24
DeviceType,23
V246,16
V157,16
V39,16
V50,5
M1,3
V155,2
